Matrix Size ,Block Size, Naive Timing, Blocked Timing, Recursive Timing
16, 4, 4.9746e-05, 4.1196e-05, 4.9822e-05
16, 8, 5.0022e-05, 3.7106e-05, 4.8726e-05
16, 16, 4.5199e-05, 2.9729e-05, 4.1895e-05
32, 4, 0.000305828, 0.000232379, 0.000276339
32, 8, 0.000273664, 0.000204173, 0.000271227
32, 16, 0.000275956, 0.000190894, 0.00029724
32, 32, 0.000298736, 0.000193594, 0.000277729
64, 4, 0.00214679, 0.00191283, 0.00228623
64, 8, 0.00221334, 0.00167532, 0.00214132
64, 16, 0.00270266, 0.00163049, 0.00224664
64, 32, 0.00246467, 0.00163014, 0.00216154
64, 64, 0.00283614, 0.00216591, 0.00236697
128, 4, 0.0185832, 0.0159806, 0.0198095
128, 8, 0.0182648, 0.0147468, 0.018455
128, 16, 0.0186163, 0.0129779, 0.0193381
128, 32, 0.0187312, 0.0125403, 0.0186458
128, 64, 0.0196046, 0.0141422, 0.0209409
128, 128, 0.0193134, 0.0134371, 0.0189731
256, 4, 0.139318, 0.119955, 0.173716
256, 8, 0.150906, 0.11732, 0.150384
256, 16, 0.164516, 0.105447, 0.156364
256, 32, 0.150588, 0.110999, 0.151732
256, 64, 0.139765, 0.0998, 0.145868
256, 128, 0.142272, 0.0955027, 0.138391
256, 256, 0.146567, 0.0972083, 0.146621
512, 4, 1.19104, 1.04959, 1.24577
512, 8, 1.21509, 0.939994, 1.18094
512, 16, 1.19202, 0.805042, 1.12879
512, 32, 1.05478, 0.769861, 1.23384
512, 64, 1.34337, 0.845758, 1.22718
512, 128, 1.16961, 0.778367, 1.14746
512, 256, 1.16468, 0.87427, 1.17207
512, 512, 1.24165, 0.802667, 1.17581
1024, 4, 13.4255, 8.90479, 9.9328
1024, 8, 11.8182, 6.68621, 8.66182
1024, 16, 8.70534, 6.04899, 8.83883
1024, 32, 8.59683, 6.17635, 8.58306
1024, 64, 8.70982, 5.83607, 13.8874
1024, 128, 10.6374, 6.25048, 9.48305
