Matrix Size,Block Size,Number of Threads,Elapsed Back Solve,Elapsed Parallel Back Solve Static,Elapsed Parallel Back Solve Dynamic
8,8,1,0,2.8e-05,7.00005e-06
8,8,2,0,0.000379,0.000331
8,8,4,9.99891e-07,0.000564,0.000388
8,8,8,1.00001e-06,0.000722,0.000542
8,8,16,1.00001e-06,0.001166,0.000925
8,8,32,9.99891e-07,0.00236,0.00173
8,8,64,0,0.004353,0.003378
16,8,1,1.00001e-06,2.9e-05,1.3e-05
16,8,2,1.00001e-06,0.000681,0.000403
16,8,4,1.00001e-06,0.000798,0.000617
16,8,8,0,0.00157,0.001001
16,8,16,1.00001e-06,0.003513,0.001835
16,8,32,1.00001e-06,0.005185,0.003478
16,8,64,1.00001e-06,0.00885,0.006764
32,8,1,2.00002e-06,4.00001e-05,2.8e-05
32,8,2,2.00002e-06,0.000911,0.00086
32,8,4,2.00002e-06,0.001769,0.001257
32,8,8,1.00001e-06,0.003008,0.002136
32,8,16,2.00002e-06,0.004517,0.003926
32,8,32,2.00002e-06,0.008651,0.007427
32,8,64,2.00002e-06,0.016172,0.015677
64,8,1,5.99993e-06,5.80001e-05,7.1e-05
64,8,2,5.99993e-06,0.002085,0.0017
64,8,4,5.99993e-06,0.003688,0.002328
64,8,8,4.99992e-06,0.005056,0.004299
64,8,16,6.00005e-06,0.009991,0.008562
64,8,32,4.99992e-06,0.017339,0.015374
64,8,64,5.00004e-06,0.032445,0.029075
128,8,1,1.99999e-05,0.000105,0.000211
128,8,2,3.59999e-05,0.005178,0.002935
128,8,4,1.9e-05,0.005944,0.004835
128,8,8,2e-05,0.010026,0.008539
128,8,16,2.1e-05,0.01601,0.015772
128,8,32,2e-05,0.031388,0.029916
128,8,64,1.89999e-05,0.059735,0.058221
256,8,1,7.3e-05,0.000212,0.000623
256,8,2,7.3e-05,0.008639,0.006944
256,8,4,8.1e-05,0.010372,0.008831
256,8,8,7.7e-05,0.018476,0.018629
256,8,16,7.5e-05,0.037347,0.032741
256,8,32,7.7e-05,0.06315,0.060625
256,8,64,7.30001e-05,0.129694,0.118333
512,8,1,0.000288,0.000577,0.002163
512,8,2,0.000273,0.014087,0.012848
512,8,4,0.000285,0.020414,0.017664
512,8,8,0.000322,0.035009,0.034402
512,8,16,0.0003,0.069295,0.067533
512,8,32,0.000488,0.124156,0.124144
512,8,64,0.000328,0.240089,0.238386
1024,8,1,0.001356,0.00282,0.011048
1024,8,2,0.001471,0.030041,0.035011
1024,8,4,0.001448,0.040266,0.047871
1024,8,8,0.001856,0.083064,0.07078
1024,8,16,0.001714,0.130907,0.144728
1024,8,32,0.001431,0.249145,0.256481
1024,8,64,0.001606,0.482406,0.505301
2048,8,1,0.005048,0.007599,0.037086
2048,8,2,0.006551,0.058146,0.091916
2048,8,4,0.005928,0.087227,0.12509
2048,8,8,0.005586,0.151765,0.178401
2048,8,16,0.005132,0.280466,0.298105
2048,8,32,0.005949,0.507668,0.530584
2048,8,64,0.007804,0.979996,1.02571
4096,8,1,0.024089,0.025162,0.136917
4096,8,2,0.029201,0.174123,0.328587
4096,8,4,0.025069,0.13978,0.36514
4096,8,8,0.02083,0.283711,0.492996
4096,8,16,0.02929,0.564389,0.604917
4096,8,32,0.024174,0.973404,1.21584
4096,8,64,0.020071,2.01619,2.15209
8192,8,1,0.11311,0.115266,0.61272
8192,8,2,0.092356,0.229042,1.04738
8192,8,4,0.091531,0.312608,1.16731
8192,8,8,0.094559,0.54185,1.21815
8192,8,16,0.106741,1.03126,1.60418
8192,8,32,0.095256,2.00314,2.94392
8192,8,64,0.102211,4.09474,4.60133
16384,8,1,0.347245,0.320299,2.15574
16384,8,2,0.445029,0.659748,3.66777
16384,8,4,0.417442,0.590711,3.96423
16384,8,8,0.379462,1.03599,4.04019
16384,8,16,0.35351,1.93545,4.74668
16384,8,32,0.408097,3.95553,6.62069
16384,8,64,0.40682,7.94257,10.7993
